,training
113,pancreas_334.nii.gz
114,pancreas_186.nii.gz
115,pancreas_122.nii.gz
116,pancreas_342.nii.gz
117,pancreas_227.nii.gz
118,pancreas_012.nii.gz
119,pancreas_145.nii.gz
120,pancreas_229.nii.gz
121,pancreas_270.nii.gz
122,pancreas_048.nii.gz
123,pancreas_259.nii.gz
124,pancreas_173.nii.gz
125,pancreas_040.nii.gz
126,pancreas_367.nii.gz
127,pancreas_416.nii.gz
128,pancreas_037.nii.gz
129,pancreas_224.nii.gz
130,pancreas_406.nii.gz
131,pancreas_402.nii.gz
132,pancreas_366.nii.gz
133,pancreas_084.nii.gz
134,pancreas_280.nii.gz
135,pancreas_178.nii.gz
136,pancreas_081.nii.gz
137,pancreas_291.nii.gz
138,pancreas_158.nii.gz
139,pancreas_277.nii.gz
140,pancreas_235.nii.gz
141,pancreas_077.nii.gz
142,pancreas_336.nii.gz
143,pancreas_215.nii.gz
144,pancreas_293.nii.gz
145,pancreas_419.nii.gz
146,pancreas_295.nii.gz
147,pancreas_262.nii.gz
148,pancreas_197.nii.gz
149,pancreas_058.nii.gz
150,pancreas_305.nii.gz
151,pancreas_222.nii.gz
152,pancreas_355.nii.gz
153,pancreas_051.nii.gz
154,pancreas_253.nii.gz
155,pancreas_194.nii.gz
156,pancreas_386.nii.gz
157,pancreas_172.nii.gz
158,pancreas_350.nii.gz
159,pancreas_284.nii.gz
160,pancreas_193.nii.gz
161,pancreas_083.nii.gz
162,pancreas_183.nii.gz
163,pancreas_323.nii.gz
164,pancreas_241.nii.gz
165,pancreas_344.nii.gz
166,pancreas_201.nii.gz
167,pancreas_399.nii.gz
168,pancreas_266.nii.gz
169,pancreas_126.nii.gz
170,pancreas_268.nii.gz
171,pancreas_290.nii.gz
172,pancreas_360.nii.gz
173,pancreas_067.nii.gz
174,pancreas_329.nii.gz
175,pancreas_310.nii.gz
176,pancreas_302.nii.gz
177,pancreas_041.nii.gz
178,pancreas_395.nii.gz
179,pancreas_393.nii.gz
180,pancreas_243.nii.gz
181,pancreas_267.nii.gz
182,pancreas_326.nii.gz
183,pancreas_320.nii.gz
184,pancreas_312.nii.gz
185,pancreas_330.nii.gz
186,pancreas_313.nii.gz
187,pancreas_418.nii.gz
188,pancreas_249.nii.gz
189,pancreas_351.nii.gz
190,pancreas_032.nii.gz
191,pancreas_389.nii.gz
192,pancreas_405.nii.gz
193,pancreas_379.nii.gz
194,pancreas_166.nii.gz
195,pancreas_210.nii.gz
196,pancreas_179.nii.gz
197,pancreas_035.nii.gz
198,pancreas_300.nii.gz
199,pancreas_148.nii.gz
200,pancreas_278.nii.gz
201,pancreas_137.nii.gz
202,pancreas_242.nii.gz
203,pancreas_375.nii.gz
204,pancreas_254.nii.gz
205,pancreas_327.nii.gz
206,pancreas_052.nii.gz
207,pancreas_380.nii.gz
208,pancreas_119.nii.gz
209,pancreas_078.nii.gz
210,pancreas_309.nii.gz
211,pancreas_129.nii.gz
212,pancreas_356.nii.gz
213,pancreas_181.nii.gz
214,pancreas_234.nii.gz
215,pancreas_155.nii.gz
216,pancreas_175.nii.gz
217,pancreas_207.nii.gz
218,pancreas_410.nii.gz
219,pancreas_299.nii.gz
220,pancreas_070.nii.gz
221,pancreas_199.nii.gz
222,pancreas_091.nii.gz
223,pancreas_069.nii.gz
224,pancreas_213.nii.gz
225,pancreas_087.nii.gz
226,pancreas_376.nii.gz
227,pancreas_015.nii.gz
228,pancreas_066.nii.gz
229,pancreas_124.nii.gz
230,pancreas_010.nii.gz
231,pancreas_100.nii.gz
232,pancreas_138.nii.gz
233,pancreas_103.nii.gz
234,pancreas_255.nii.gz
235,pancreas_377.nii.gz
236,pancreas_025.nii.gz
237,pancreas_385.nii.gz
238,pancreas_269.nii.gz
239,pancreas_388.nii.gz
240,pancreas_180.nii.gz
241,pancreas_412.nii.gz
242,pancreas_101.nii.gz
243,pancreas_374.nii.gz
244,pancreas_140.nii.gz
245,pancreas_167.nii.gz
246,pancreas_024.nii.gz
247,pancreas_289.nii.gz
248,pancreas_275.nii.gz
249,pancreas_001.nii.gz
250,pancreas_050.nii.gz
251,pancreas_006.nii.gz
252,pancreas_187.nii.gz
253,pancreas_016.nii.gz
254,pancreas_357.nii.gz
255,pancreas_114.nii.gz
256,pancreas_354.nii.gz
257,pancreas_043.nii.gz
258,pancreas_018.nii.gz
259,pancreas_414.nii.gz
260,pancreas_276.nii.gz
261,pancreas_160.nii.gz
262,pancreas_182.nii.gz
263,pancreas_075.nii.gz
264,pancreas_111.nii.gz
265,pancreas_094.nii.gz
266,pancreas_080.nii.gz
267,pancreas_099.nii.gz
268,pancreas_149.nii.gz
